,baseline,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1973-06-07,-12.219319294281817,-10.41690438249659,-10.41690438249659,-10.41690438249659,-10.41690438249659
1973-06-08,4.225484923285511,3.5709698465710216,3.5709698465710216,3.5709698465710216,3.5709698465710216
1973-06-11,9.042800000000003,6.349200000000002,6.349200000000002,6.349200000000002,6.349200000000002
1973-06-12,2.0021999999999958,1.4057999999999973,1.4057999999999973,1.4057999999999973,1.4057999999999973
1973-06-13,-2.82,-1.982482652521609,-1.982482652521609,-1.982482652521609,-1.982482652521609
1973-06-14,-9.165,-6.63,-6.63,-6.63,-6.63
1973-06-15,-7.287605341151602,-5.28563204690961,-5.28563204690961,-5.28563204690961,-5.28563204690961
1973-06-18,8.964666877017082,5.441334069559787,5.441334069559787,5.441334069559787,5.441334069559787
1973-06-19,3.734659533376315,1.785,1.785,1.785,1.785
1973-06-20,-5.88,-2.94,-2.94,-2.94,-2.94
1973-06-21,5.46,2.73,2.73,2.73,2.73
1973-06-22,-5.46,-2.73,-2.73,-2.73,-2.73
1973-06-25,1.89,0.945,0.945,0.945,0.945
1973-06-26,-6.3,-3.15,-3.15,-3.15,-3.15
1973-06-27,-0.63,-0.3261006016256279,-0.3261006016256279,-0.3261006016256279,-0.3261006016256279
1973-06-28,-8.299199999999995,-3.3620476698074007,-3.3620476698074007,-3.3620476698074007,-3.3620476698074007
1973-06-29,5.773445917224694,2.1843377516740947,2.1843377516740947,2.1843377516740947,2.1843377516740947
1973-07-02,8.090912250626689,2.0015257362474816,2.0015257362474816,2.0015257362474816,2.0015257362474816
1973-07-03,0.5791148505983549,0.14411485059835485,0.14411485059835485,0.14411485059835485,0.14411485059835485
1973-07-04,0.0,-0.008822799516154504,-0.008822799516154504,-0.008822799516154504,-0.008822799516154504
1973-07-05,-7.03,-2.85,-2.85,-2.85,-2.85
1973-07-06,1.85,0.7469920607962752,0.7469920607962752,0.7469920607962752,0.7469920607962752
1973-07-09,0.925,0.35,0.35,0.35,0.35
1973-07-10,-3.33,-1.26,-1.26,-1.26,-1.26
1973-07-11,7.673800000000003,2.9036000000000013,2.9036000000000013,2.9036000000000013,2.9036000000000013
1973-07-12,1.2061999999999968,0.4563999999999987,0.4563999999999987,0.4563999999999987,0.4563999999999987
1973-07-13,4.44,1.6737988917700253,1.6737988917700253,1.6737988917700253,1.6737988917700253
1973-07-16,6.29,2.7074413640077055,2.7074413640077055,2.7074413640077055,2.7074413640077055
1973-07-17,-3.885,-2.1126392647809453,-2.1126392647809453,-2.1126392647809453,-2.1126392647809453
1973-07-18,1.11,0.72,0.72,0.72,0.72
1973-07-19,7.77,5.04,5.04,5.04,5.04
1973-07-20,7.4,4.790171469241072,4.790171469241072,4.790171469241072,4.790171469241072
1973-07-23,5.92,4.310079707369184,4.310079707369184,4.310079707369184,4.310079707369184
1973-07-24,-3.703324660096258,-3.006649320192515,-3.006649320192515,-3.006649320192515,-3.006649320192515
1973-07-25,6.836634005320341,5.76,5.76,5.76,5.76
1973-07-26,4.676620334807709,3.8366203348077095,3.8366203348077095,3.8366203348077095,3.8366203348077095
1973-07-27,-8.003444614865945,-6.606889229731889,-6.606889229731889,-6.606889229731889,-6.606889229731889
1973-07-30,8.61,7.35,7.35,7.35,7.35
1973-07-31,8.2,7.0,7.0,7.0,7.0
1973-08-01,-2.87,-2.45,-2.45,-2.45,-2.45
1973-08-02,-1.23,-1.05,-1.05,-1.05,-1.05
1973-08-03,7.79,6.65,6.65,6.65,6.65
1973-08-06,8.2,7.0,7.0,7.0,7.0
1973-08-07,8.2,7.0,7.0,7.0,7.0
1973-08-08,7.79,6.65,6.65,6.65,6.65
1973-08-09,-2.05,-1.7537281484267917,-1.7537281484267917,-1.7537281484267917,-1.7537281484267917
1973-08-10,7.79,6.84,6.84,6.84,6.84
1973-08-13,8.2,7.2,7.2,7.2,7.2
1973-08-14,8.2,7.196161556712967,7.196161556712967,7.196161556712967,7.196161556712967
1973-08-15,-8.2,-7.4,-7.4,-7.4,-7.4
1973-08-16,-8.203951421293407,-7.4,-7.4,-7.4,-7.4
1973-08-17,-1.2079057466493612,-1.1258114932987227,-1.1258114932987227,-1.1258114932987227,-1.1258114932987227
1973-08-20,-3.8,-3.3039643164203594,-3.3039643164203594,-3.3039643164203594,-3.3039643164203594
1973-08-21,-7.22,-6.088033609408877,-6.088033609408877,-6.088033609408877,-6.088033609408877
1973-08-22,-7.60406807887039,-6.020340394351954,-6.020340394351954,-6.020340394351954,-6.020340394351954
1973-08-23,-7.4041226096728545,-5.0164904386914175,-5.0164904386914175,-5.0164904386914175,-5.0164904386914175
1973-08-24,7.2,4.183352899412284,4.183352899412284,4.183352899412284,4.183352899412284
1973-08-27,-7.384197302519427,-3.485,-3.485,-3.485,-3.485
1973-08-28,-7.0,-3.4085012699065675,-3.4085012699065675,-3.4085012699065675,-3.4085012699065675
1973-08-29,0.5207541564818826,0.21226246944564786,0.21226246944564786,0.21226246944564786,0.21226246944564786
1973-08-30,-8.16,-2.884318917383035,-2.884318917383035,-2.884318917383035,-2.884318917383035
1973-08-31,0.68,0.20705603423632946,0.20705603423632946,0.20705603423632946,0.20705603423632946
1973-09-03,0.0,-0.004314655254556847,-0.004314655254556847,-0.004314655254556847,-0.004314655254556847
1973-09-04,-5.78,-1.19,-1.19,-1.19,-1.19
1973-09-05,-6.8,-1.408803351634533,-1.408803351634533,-1.408803351634533,-1.408803351634533
1973-09-06,3.7355872710235536,0.541174542047107,0.541174542047107,0.541174542047107,0.541174542047107
1973-09-07,7.26,0.66,0.66,0.66,0.66
1973-09-10,-2.3189343128812863,-0.21,-0.21,-0.21,-0.21
1973-09-11,2.79,0.26552951877654013,0.26552951877654013,0.26552951877654013,0.26552951877654013
1973-09-12,-5.735,-0.7445126925262036,-0.7445126925262036,-0.7445126925262036,-0.7445126925262036
1973-09-13,1.3904900893440895,0.225,0.225,0.225,0.225
1973-09-14,5.1,0.85,0.85,0.85,0.85
1973-09-17,6.145429074885677,1.0204290748856766,1.0204290748856766,1.0204290748856766,1.0204290748856766
1973-09-18,-5.8,-1.2184752719226262,-1.2184752719226262,-1.2184752719226262,-1.2184752719226262
1973-09-19,-0.4396192727618368,-0.15,-0.15,-0.15,-0.15
1973-09-20,0.84,0.3,0.3,0.3,0.3
1973-09-21,-1.4,-0.5,-0.5,-0.5,-0.5
1973-09-24,5.88,2.1,2.1,2.1,2.1
1973-09-25,1.4,0.5,0.5,0.5,0.5
1973-09-26,-5.04,-1.8093734926785832,-1.8093734926785832,-1.8093734926785832,-1.8093734926785832
1973-09-27,-0.84,-0.36,-0.36,-0.36,-0.36
1973-09-28,1.12,0.48,0.48,0.48,0.48
1973-10-01,-2.52,-1.08,-1.08,-1.08,-1.08
1973-10-02,-3.36,-1.444717401967442,-1.444717401967442,-1.444717401967442,-1.444717401967442
1973-10-03,5.32,2.080499295886918,2.080499295886918,2.080499295886918,2.080499295886918
1973-10-04,-4.48,-1.44,-1.44,-1.44,-1.44
1973-10-05,0.84,0.27,0.27,0.27,0.27
1973-10-08,0.0,0.0,0.0,0.0,0.0
1973-10-09,5.88,1.89,1.89,1.89,1.89
1973-10-10,4.2,1.3451672308092797,1.3451672308092797,1.3451672308092797,1.3451672308092797
1973-10-11,0.56,0.180683223740247,0.180683223740247,0.180683223740247,0.180683223740247
