,baseline,handcraft,shrinkage,hrp,equal
1973-08-24,7.2,3.8,3.8,3.8,3.8
1973-08-27,-7.384197302519427,-3.895,-3.895,-3.895,-3.895
1973-08-28,-7.0,-3.804250634953284,-3.804250634953284,-3.804250634953284,-3.804250634953284
1973-08-29,0.5207541564818826,0.27,0.27,0.27,0.27
1973-08-30,-8.16,-4.32,-4.32,-4.32,-4.32
1973-08-31,0.68,0.36,0.36,0.36,0.36
1973-09-03,0.0,0.0,0.0,0.0,0.0
1973-09-04,-5.78,-3.06,-3.06,-3.06,-3.06
1973-09-05,-6.8,-3.6,-3.6,-3.6,-3.6
1973-09-06,3.7355872710235536,1.98,1.98,1.98,1.98
1973-09-07,7.26,3.95553997762647,3.95553997762647,3.95553997762647,3.95553997762647
1973-09-10,-2.3189343128812863,-1.194467156440643,-1.194467156440643,-1.194467156440643,-1.194467156440643
1973-09-11,2.79,1.44,1.44,1.44,1.44
1973-09-12,-5.735,-2.96,-2.96,-2.96,-2.96
1973-09-13,1.3904900893440895,0.72,0.72,0.72,0.72
1973-09-14,5.1,2.72,2.72,2.72,2.72
1973-09-17,6.145429074885677,3.28,3.28,3.28,3.28
1973-09-18,-5.8,-3.204618817980657,-3.204618817980657,-3.204618817980657,-3.204618817980657
1973-09-19,-0.4396192727618368,-0.225,-0.225,-0.225,-0.225
1973-09-20,0.84,0.45,0.45,0.45,0.45
1973-09-21,-1.4,-0.75,-0.75,-0.75,-0.75
1973-09-24,5.88,3.15,3.15,3.15,3.15
1973-09-25,1.4,0.75,0.75,0.75,0.75
1973-09-26,-5.04,-2.7,-2.7,-2.7,-2.7
1973-09-27,-0.84,-0.45,-0.45,-0.45,-0.45
1973-09-28,1.12,0.6,0.6,0.6,0.6
1973-10-01,-2.52,-1.35,-1.35,-1.35,-1.35
1973-10-02,-3.36,-1.8,-1.8,-1.8,-1.8
1973-10-03,5.32,2.85,2.85,2.85,2.85
1973-10-04,-4.48,-2.4,-2.4,-2.4,-2.4
1973-10-05,0.84,0.45,0.45,0.45,0.45
1973-10-08,0.0,0.0,0.0,0.0,0.0
1973-10-09,5.88,3.15,3.15,3.15,3.15
1973-10-10,4.2,2.25,2.25,2.25,2.25
1973-10-11,0.56,0.3,0.3,0.3,0.3
1973-10-12,-5.88,-3.15,-3.15,-3.15,-3.15
1973-10-15,-5.6,-3.0,-3.0,-3.0,-3.0
1973-10-16,-1.82,-0.975,-0.975,-0.975,-0.975
1973-10-17,2.94,1.575,1.575,1.575,1.575
1973-10-18,0.28,0.15,0.15,0.15,0.15
1973-10-19,-1.96,-1.05,-1.05,-1.05,-1.05
1973-10-22,-2.24,-1.2,-1.2,-1.2,-1.2
1973-10-23,0.0,0.0,0.0,0.0,0.0
1973-10-24,0.84,0.45,0.45,0.45,0.45
1973-10-25,2.8,1.5,1.5,1.5,1.5
1973-10-26,-3.64,-1.95,-1.95,-1.95,-1.95
1973-10-29,-5.6,-3.0,-3.0,-3.0,-3.0
1973-10-30,0.0,0.0,0.0,0.0,0.0
1973-10-31,1.4,0.75,0.75,0.75,0.75
1973-11-01,0.84,0.45,0.45,0.45,0.45
1973-11-02,-0.28,-0.15,-0.15,-0.15,-0.15
1973-11-05,1.4,0.75,0.75,0.75,0.75
1973-11-06,-1.8250106464532494,-0.975,-0.975,-0.975,-0.975
1973-11-07,0.435,0.225,0.225,0.225,0.225
1973-11-08,0.7199975335264516,0.36999753352645165,0.36999753352645165,0.36999753352645165,0.36999753352645165
1973-11-09,0.15,0.08,0.08,0.08,0.08
1973-11-12,3.5949893765540115,1.9149893765540114,1.9149893765540114,1.9149893765540114,1.9149893765540114
1973-11-13,1.085,0.595,0.595,0.595,0.595
1973-11-14,-1.250027286032533,-0.68,-0.68,-0.68,-0.68
1973-11-15,0.489991177865176,0.24999117786517602,0.24999117786517602,0.24999117786517602,0.24999117786517602
1973-11-16,0.3299823975465504,0.17499119877327518,0.17499119877327518,0.17499119877327518,0.17499119877327518
1973-11-19,2.1549924255345503,1.13499242553455,1.13499242553455,1.13499242553455,1.13499242553455
1973-11-20,7.389916104407493,4.0,4.0,4.0,4.0
1973-11-21,3.12,1.6,1.6,1.6,1.6
1973-11-22,0.0,0.0,0.0,0.0,0.0
1973-11-23,-1.56,-0.8,-0.8,-0.8,-0.8
1973-11-26,-7.02,-3.6050825967130007,-3.6050825967130007,-3.6050825967130007,-3.6050825967130007
1973-11-27,0.39,0.21,0.21,0.21,0.21
1973-11-28,7.8,4.2,4.2,4.2,4.2
1973-11-29,2.73,1.47,1.47,1.47,1.47
1973-11-30,-1.95,-1.05,-1.05,-1.05,-1.05
1973-12-03,-2.145,-1.155,-1.155,-1.155,-1.155
1973-12-04,3.705,1.995,1.995,1.995,1.995
1973-12-05,-5.270147341230412,-2.835,-2.835,-2.835,-2.835
1973-12-06,4.2,2.205,2.205,2.205,2.205
1973-12-07,1.0,0.525,0.525,0.525,0.525
1973-12-10,0.19485344942894808,0.105,0.105,0.105,0.105
1973-12-11,6.349836645437229,3.2498366454372287,3.2498366454372287,3.2498366454372287,3.2498366454372287
1973-12-12,-3.78,-1.98,-1.98,-1.98,-1.98
1973-12-13,1.26,0.66,0.66,0.66,0.66
1973-12-14,0.6248288505003995,0.32482885050039945,0.32482885050039945,0.32482885050039945,0.32482885050039945
1973-12-17,1.709662538658683,0.9148312693293416,0.9148312693293416,0.9148312693293416,0.9148312693293416
1973-12-18,-4.730180350186954,-2.5251803501869543,-2.5251803501869543,-2.5251803501869543,-2.5251803501869543
1973-12-19,2.76,1.5,1.5,1.5,1.5
1973-12-20,-0.00518176955891914,0.0,0.0,0.0,0.0
1973-12-21,-1.4151833840751438,-0.7551833840751437,-0.7551833840751437,-0.7551833840751437,-0.7551833840751437
1973-12-24,-0.0051830281832359396,0.0,0.0,0.0,0.0
1973-12-25,0.0,0.0,0.0,0.0,0.0
1973-12-26,-5.39,-2.86,-2.86,-2.86,-2.86
1973-12-27,3.185,1.69,1.69,1.69,1.69
1973-12-28,-0.7401975682949485,-0.39,-0.39,-0.39,-0.39
1973-12-31,-2.00519861592664,-1.0451986159266402,-1.0451986159266402,-1.0451986159266402,-1.0451986159266402
1974-01-01,0.0,0.0,0.0,0.0,0.0
1974-01-02,3.8198048738384913,2.025,2.025,2.025,2.025
1974-01-03,-1.04,-0.54,-0.54,-0.54,-0.54
1974-01-04,3.3748087483052602,1.7498087483052605,1.7498087483052605,1.7498087483052605,1.7498087483052605
1974-01-07,7.679799312211989,4.054799312211989,4.054799312211989,4.054799312211989,4.054799312211989
1974-01-08,2.16,1.16,1.16,1.16,1.16
1974-01-09,-7.02,-3.77,-3.77,-3.77,-3.77
1974-01-10,10.26,5.51,5.51,5.51,5.51
1974-01-11,-1.900473393085232,-1.025473393085232,-1.025473393085232,-1.025473393085232,-1.025473393085232
1974-01-14,3.38,1.755,1.755,1.755,1.755
1974-01-15,1.56,0.81,0.81,0.81,0.81
1974-01-16,1.3,0.675,0.675,0.675,0.675
1974-01-17,4.16,2.16,2.16,2.16,2.16
1974-01-18,-2.605226088035396,-1.355226088035396,-1.355226088035396,-1.355226088035396,-1.355226088035396
1974-01-21,-0.795,-0.42,-0.42,-0.42,-0.42
1974-01-22,-6.630243741772373,-3.5,-3.5,-3.5,-3.5
1974-01-23,-4.86,-2.52,-2.52,-2.52,-2.52
1974-01-24,1.89,0.98,0.98,0.98,0.98
1974-01-25,10.8,5.6,5.6,5.6,5.6
1974-01-28,-0.5452591126055473,-0.28,-0.28,-0.28,-0.28
1974-01-29,-3.975,-2.1,-2.1,-2.1,-2.1
1974-01-30,2.12,1.12,1.12,1.12,1.12
1974-01-31,1.59,0.84,0.84,0.84,0.84
1974-02-01,0.53,0.28,0.28,0.28,0.28
1974-02-04,-1.325,-0.7,-0.7,-0.7,-0.7
1974-02-05,-1.325,-0.7,-0.7,-0.7,-0.7
1974-02-06,-1.0652021795330338,-0.5652021795330338,-0.5652021795330338,-0.5652021795330338,-0.5652021795330338
1974-02-07,1.884798750915092,1.015,1.015,1.015,1.015
1974-02-08,4.669801105609505,2.4598011056095044,2.4598011056095044,2.4598011056095044,2.4598011056095044
1974-02-11,4.76,2.55,2.55,2.55,2.55
1974-02-12,-0.005132878029762882,0.0,0.0,0.0,0.0
1974-02-13,-4.275,-2.25,-2.25,-2.25,-2.25
1974-02-14,3.99,2.1,2.1,2.1,2.1
1974-02-15,3.42,1.8,1.8,1.8,1.8
1974-02-18,-0.005023850746551622,-0.005023850746551622,-0.005023850746551622,-0.005023850746551622,-0.005023850746551622
1974-02-19,11.6,6.2,6.2,6.2,6.2
1974-02-20,8.7,4.65,4.65,4.65,4.65
1974-02-21,1.45,0.775,0.775,0.775,0.775
1974-02-22,10.44,5.58,5.58,5.58,5.58
1974-02-25,11.6,6.2,6.2,6.2,6.2
1974-02-26,-0.8800566139030785,-0.4700283069515393,-0.4700283069515393,-0.4700283069515393,-0.4700283069515393
1974-02-27,-11.2,-6.0,-6.0,-6.0,-6.0
1974-02-28,-11.23048086944791,-6.020320579631941,-6.020320579631941,-6.020320579631941,-6.020320579631941
1974-03-01,8.729654942908958,4.539827471454479,4.539827471454479,4.539827471454479,4.539827471454479
1974-03-04,-9.205128730980338,-4.8,-4.8,-4.8,-4.8
1974-03-05,-9.015439861967085,-4.81029324131139,-4.81029324131139,-4.81029324131139,-4.81029324131139
1974-03-06,-3.7851557552979194,-1.98,-1.98,-1.98,-1.98
