,handcraft,shrinkage,hrp,equal,fw_handcraft,fw_shrinkage,fw_hrp,fw_equal
1973-03-26,-0.63,-0.63,-0.63,-0.63,-0.495,-0.495,-0.495,-0.495
1973-03-27,-1.47,-1.47,-1.47,-1.47,-1.155,-1.155,-1.155,-1.155
1973-03-28,1.7808000000000037,1.7808000000000037,1.7808000000000037,1.7808000000000037,1.395935115853855,1.395935115853855,1.395935115853855,1.395935115853855
1973-03-29,0.10919999999999619,0.10919999999999619,0.10919999999999619,0.10919999999999619,0.08059999999999717,0.08059999999999717,0.08059999999999717,0.08059999999999717
1973-03-30,0.41838135798905846,0.41838135798905846,0.41838135798905846,0.41838135798905846,0.31,0.31,0.31,0.31
1973-04-02,4.7283347420913815,4.7283347420913815,4.7283347420913815,4.7283347420913815,3.41,3.41,3.41,3.41
1973-04-03,-1.76,-1.76,-1.76,-1.76,-1.2533301935903935,-1.2533301935903935,-1.2533301935903935,-1.2533301935903935
1973-04-04,1.32,1.32,1.32,1.32,1.17,1.17,1.17,1.17
1973-04-05,-1.2143999999999961,-1.2143999999999961,-1.2143999999999961,-1.2143999999999961,-1.081379110258063,-1.081379110258063,-1.081379110258063,-1.081379110258063
1973-04-06,-0.66,-0.66,-0.66,-0.66,-0.63,-0.63,-0.63,-0.63
1973-04-09,3.08,3.08,3.08,3.08,2.94,2.94,2.94,2.94
1973-04-10,-1.205600000000004,-1.205600000000004,-1.205600000000004,-1.205600000000004,-1.1508000000000038,-1.1508000000000038,-1.1508000000000038,-1.1508000000000038
1973-04-11,-0.554399999999996,-0.554399999999996,-0.554399999999996,-0.554399999999996,-0.5291999999999961,-0.5291999999999961,-0.5291999999999961,-0.5291999999999961
1973-04-12,1.32,1.32,1.32,1.32,1.26,1.26,1.26,1.26
1973-04-13,0.114399999999996,0.114399999999996,0.114399999999996,0.114399999999996,0.10919999999999619,0.10919999999999619,0.10919999999999619,0.10919999999999619
1973-04-16,1.54,1.54,1.54,1.54,1.47,1.47,1.47,1.47
1973-04-17,-0.66,-0.66,-0.66,-0.66,-0.6398485356475582,-0.6398485356475582,-0.6398485356475582,-0.6398485356475582
1973-04-18,2.6383513331854953,2.6383513331854953,2.6383513331854953,2.6383513331854953,2.88,2.88,2.88,2.88
1973-04-19,0.675,0.675,0.675,0.675,0.7101425993581045,0.7101425993581045,0.7101425993581045,0.7101425993581045
1973-04-20,-0.0016366574815257157,-0.0016366574815257157,-0.0016366574815257157,-0.0016366574815257157,-0.00981994488915429,-0.00981994488915429,-0.00981994488915429,-0.00981994488915429
1973-04-23,2.3,2.3,2.3,2.3,3.0,3.0,3.0,3.0
1973-04-24,-2.071642631181715,-2.071642631181715,-2.071642631181715,-2.071642631181715,-2.719711574180582,-2.719711574180582,-2.719711574180582,-2.719711574180582
1973-04-25,3.76,3.76,3.76,3.76,5.758340062779719,5.758340062779719,5.758340062779719,5.758340062779719
1973-04-26,-3.525,-3.525,-3.525,-3.525,-5.325,-5.325,-5.325,-5.325
1973-04-27,-0.4716723541603683,-0.4716723541603683,-0.4716723541603683,-0.4716723541603683,-0.7334129582451561,-0.7334129582451561,-0.7334129582451561,-0.7334129582451561
1973-04-30,4.6,4.6,4.6,4.6,5.693192163989344,5.693192163989344,5.693192163989344,5.693192163989344
1973-05-01,4.364819904492632,4.364819904492632,4.364819904492632,4.364819904492632,5.035,5.035,5.035,5.035
1973-05-02,-3.011740605268467,-3.011740605268467,-3.011740605268467,-3.011740605268467,-3.7152218158054016,-3.7152218158054016,-3.7152218158054016,-3.7152218158054016
1973-05-03,2.7265043461054534,2.7265043461054534,2.7265043461054534,2.7265043461054534,3.64,3.64,3.64,3.64
1973-05-04,-0.2,-0.2,-0.2,-0.2,-0.28,-0.28,-0.28,-0.28
1973-05-07,3.4,3.4,3.4,3.4,4.76,4.76,4.76,4.76
1973-05-08,1.0,1.0,1.0,1.0,1.3947376832330614,1.3947376832330614,1.3947376832330614,1.3947376832330614
1973-05-09,0.4,0.4,0.4,0.4,0.5795114299684317,0.5795114299684317,0.5795114299684317,0.5795114299684317
1973-05-10,-4.803590749154742,-4.803590749154742,-4.803590749154742,-4.803590749154742,-7.803590749154742,-7.803590749154742,-7.803590749154742,-7.803590749154742
1973-05-11,0.4164213336067465,0.4164213336067465,0.4164213336067465,0.4164213336067465,0.6413706688539723,0.6413706688539723,0.6413706688539723,0.6413706688539723
1973-05-14,1.6,1.6,1.6,1.6,2.0364249288658405,2.0364249288658405,2.0364249288658405,2.0364249288658405
1973-05-15,0.2,0.2,0.2,0.2,0.245,0.245,0.245,0.245
1973-05-16,-2.0,-2.0,-2.0,-2.0,-2.45,-2.45,-2.45,-2.45
1973-05-17,-0.6,-0.6,-0.6,-0.6,-0.736780485544118,-0.736780485544118,-0.736780485544118,-0.736780485544118
1973-05-18,3.4,3.4,3.4,3.4,4.074612074690671,4.074612074690671,4.074612074690671,4.074612074690671
1973-05-21,6.2,6.2,6.2,6.2,6.975,6.975,6.975,6.975
1973-05-22,0.9962864749432658,0.9962864749432658,0.9962864749432658,0.9962864749432658,1.1212864749432658,1.1212864749432658,1.1212864749432658,1.1212864749432658
1973-05-23,0.57,0.57,0.57,0.57,0.6920429955397711,0.6920429955397711,0.6920429955397711,0.6920429955397711
1973-05-24,0.95,0.95,0.95,0.95,1.340769122720142,1.340769122720142,1.340769122720142,1.340769122720142
1973-05-25,6.268083840326482,6.268083840326482,6.268083840326482,6.268083840326482,9.725419201632413,9.725419201632413,9.725419201632413,9.725419201632413
1973-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973-05-29,6.24,6.24,6.24,6.24,10.24,10.24,10.24,10.24
1973-05-30,-5.85,-5.85,-5.85,-5.85,-9.6,-9.6,-9.6,-9.6
1973-05-31,1.9418701911115095,1.9418701911115095,1.9418701911115095,1.9418701911115095,3.1878052866672646,3.1878052866672646,3.1878052866672646,3.1878052866672646
1973-06-01,3.5,3.5,3.5,3.5,5.8,5.8,5.8,5.8
1973-06-04,7.175,7.175,7.175,7.175,11.89,11.89,11.89,11.89
1973-06-05,6.997772606989029,6.997772606989029,6.997772606989029,6.997772606989029,11.593317820967085,11.593317820967085,11.593317820967085,11.593317820967085
1973-06-06,-6.804648453792859,-6.804648453792859,-6.804648453792859,-6.804648453792859,-11.00697268068929,-11.00697268068929,-11.00697268068929,-11.00697268068929
1973-06-07,-6.409659647140909,-6.409659647140909,-6.409659647140909,-6.409659647140909,-10.41690438249659,-10.41690438249659,-10.41690438249659,-10.41690438249659
1973-06-08,2.2327424616427556,2.2327424616427556,2.2327424616427556,2.2327424616427556,3.5709698465710216,3.5709698465710216,3.5709698465710216,3.5709698465710216
1973-06-11,4.810000000000002,4.810000000000002,4.810000000000002,4.810000000000002,6.349200000000002,6.349200000000002,6.349200000000002,6.349200000000002
1973-06-12,1.064999999999998,1.064999999999998,1.064999999999998,1.064999999999998,1.4057999999999973,1.4057999999999973,1.4057999999999973,1.4057999999999973
1973-06-13,-1.5,-1.5,-1.5,-1.5,-1.982482652521609,-1.982482652521609,-1.982482652521609,-1.982482652521609
1973-06-14,-4.875,-4.875,-4.875,-4.875,-6.63,-6.63,-6.63,-6.63
1973-06-15,-3.8776053411516016,-3.8776053411516016,-3.8776053411516016,-3.8776053411516016,-5.28563204690961,-5.28563204690961,-5.28563204690961,-5.28563204690961
1973-06-18,4.6773334385085406,4.6773334385085406,4.6773334385085406,4.6773334385085406,5.441334069559787,5.441334069559787,5.441334069559787,5.441334069559787
1973-06-19,1.9523297666881574,1.9523297666881574,1.9523297666881574,1.9523297666881574,1.785,1.785,1.785,1.785
1973-06-20,-3.08,-3.08,-3.08,-3.08,-2.94,-2.94,-2.94,-2.94
1973-06-21,2.86,2.86,2.86,2.86,2.73,2.73,2.73,2.73
1973-06-22,-2.86,-2.86,-2.86,-2.86,-2.73,-2.73,-2.73,-2.73
1973-06-25,0.99,0.99,0.99,0.99,0.945,0.945,0.945,0.945
1973-06-26,-3.3,-3.3,-3.3,-3.3,-3.15,-3.15,-3.15,-3.15
1973-06-27,-0.33,-0.33,-0.33,-0.33,-0.3261006016256279,-0.3261006016256279,-0.3261006016256279,-0.3261006016256279
1973-06-28,-4.347199999999998,-4.347199999999998,-4.347199999999998,-4.347199999999998,-3.3620476698074007,-3.3620476698074007,-3.3620476698074007,-3.3620476698074007
1973-06-29,3.024322958612347,3.024322958612347,3.024322958612347,3.024322958612347,2.1843377516740947,2.1843377516740947,2.1843377516740947,2.1843377516740947
